,num
72o,0.0
82o,0.005952380952380952
62o,0.011904761904761904
32o,0.017857142857142856
83o,0.023809523809523808
92o,0.02976190476190476
42o,0.03571428571428571
73o,0.041666666666666664
52o,0.047619047619047616
93o,0.05357142857142857
T2o,0.05952380952380952
94o,0.06547619047619048
63o,0.07142857142857142
T3o,0.07738095238095238
84o,0.08333333333333333
43o,0.08928571428571429
T4o,0.09523809523809523
74o,0.10119047619047619
J2o,0.10714285714285714
53o,0.1130952380952381
T5o,0.11904761904761904
95o,0.125
J3o,0.13095238095238096
64o,0.13690476190476192
72s,0.14285714285714285
85o,0.1488095238095238
J4o,0.15476190476190477
75o,0.16071428571428573
54o,0.16666666666666666
82s,0.17261904761904762
62s,0.17857142857142858
32s,0.18452380952380953
T6o,0.19047619047619047
83s,0.19642857142857142
J5o,0.20238095238095238
Q2o,0.20833333333333334
42s,0.21428571428571427
96o,0.22023809523809523
92s,0.2261904761904762
65o,0.23214285714285715
J6o,0.23809523809523808
73s,0.24404761904761904
Q3o,0.25
86o,0.25595238095238093
52s,0.2619047619047619
93s,0.26785714285714285
T2s,0.27380952380952384
94s,0.27976190476190477
76o,0.2857142857142857
T7o,0.2916666666666667
Q4o,0.2976190476190476
63s,0.30357142857142855
T3s,0.30952380952380953
97o,0.31547619047619047
84s,0.32142857142857145
43s,0.3273809523809524
87o,0.3333333333333333
J7o,0.3392857142857143
T4s,0.34523809523809523
Q5o,0.35119047619047616
74s,0.35714285714285715
53s,0.3630952380952381
J2s,0.36904761904761907
T5s,0.375
98o,0.38095238095238093
Q6o,0.3869047619047619
95s,0.39285714285714285
T8o,0.39880952380952384
K2o,0.40476190476190477
J3s,0.4107142857142857
64s,0.4166666666666667
Q7o,0.4226190476190476
85s,0.42857142857142855
J8o,0.43452380952380953
J4s,0.44047619047619047
K3o,0.44642857142857145
75s,0.4523809523809524
54s,0.4583333333333333
T6s,0.4642857142857143
J5s,0.47023809523809523
T9o,0.47619047619047616
K4o,0.48214285714285715
Q2s,0.4880952380952381
96s,0.49404761904761907
65s,0.5
J6s,0.5059523809523809
Q8o,0.5119047619047619
86s,0.5178571428571429
Q3s,0.5238095238095238
K5o,0.5297619047619048
J9o,0.5357142857142857
76s,0.5416666666666666
T7s,0.5476190476190477
Q4s,0.5535714285714286
97s,0.5595238095238095
K6o,0.5654761904761905
87s,0.5714285714285714
J7s,0.5773809523809523
Q5s,0.5833333333333334
Q9o,0.5892857142857143
K7o,0.5952380952380952
98s,0.6011904761904762
T8s,0.6071428571428571
Q6s,0.6130952380952381
A2o,0.6190476190476191
JTo,0.625
K2s,0.6309523809523809
Q7s,0.6369047619047619
K8o,0.6428571428571429
J8s,0.6488095238095238
A3o,0.6547619047619048
K3s,0.6607142857142857
T9s,0.6666666666666666
A4o,0.6726190476190477
K4s,0.6785714285714286
Q8s,0.6845238095238095
QTo,0.6904761904761905
J9s,0.6964285714285714
K5s,0.7023809523809523
A5o,0.7083333333333334
A6o,0.7142857142857143
K9o,0.7202380952380952
K6s,0.7261904761904762
Q9s,0.7321428571428571
K7s,0.7380952380952381
QJo,0.7440476190476191
JTs,0.75
A2s,0.7559523809523809
A7o,0.7619047619047619
K8s,0.7678571428571429
A3s,0.7738095238095238
A4s,0.7797619047619048
KTo,0.7857142857142857
QTs,0.7916666666666666
A5s,0.7976190476190477
A6s,0.8035714285714286
K9s,0.8095238095238095
A8o,0.8154761904761905
QJs,0.8214285714285714
KJo,0.8273809523809523
A7s,0.8333333333333334
A9o,0.8392857142857143
KTs,0.8452380952380952
22,0.8511904761904762
A8s,0.8571428571428571
KQo,0.8630952380952381
KJs,0.8690476190476191
33,0.875
A9s,0.8809523809523809
ATo,0.8869047619047619
44,0.8928571428571429
KQs,0.8988095238095238
55,0.9047619047619048
ATs,0.9107142857142857
AJo,0.9166666666666666
66,0.9226190476190477
AJs,0.9285714285714286
77,0.9345238095238095
AQo,0.9404761904761905
88,0.9464285714285714
AQs,0.9523809523809523
AKo,0.9583333333333334
99,0.9642857142857143
AKs,0.9702380952380952
TT,0.9761904761904762
JJ,0.9821428571428571
QQ,0.9880952380952381
KK,0.9940476190476191
AA,1.0
